id,name,preferred_common_name,rank,iconic_taxon_name,ancestor_ids,photo_url
78812,Raillardella argentea,silky raillardella,species,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,179978,72329",https://inaturalist-open-data.s3.amazonaws.com/photos/47182134/medium.jpg
49530,Geometridae,Geometer Moths,family,Insecta,"48460,1,47120,372739,47158,184884,47157,49531",https://inaturalist-open-data.s3.amazonaws.com/photos/50987789/medium.jpg
128527,Helobdella,,genus,Animalia,"48460,1,47491,63089,63081,130855,128528,128529",https://inaturalist-open-data.s3.amazonaws.com/photos/5336959/medium.jpg
48972,Polygonum,knotweeds,genus,Plantae,"48460,47126,211194,47125,47124,47366,48382,922206,922238,922239",https://inaturalist-open-data.s3.amazonaws.com/photos/227072695/medium.jpg
120064,Galeruca rudis,,species,Insecta,"48460,1,47120,372739,47158,184884,47208,71130,372852,176269,51146,245843,489098,120065",https://inaturalist-open-data.s3.amazonaws.com/photos/59904/medium.jpg
57518,Hymenochaetaceae,,family,Fungi,"48460,47170,47169,492000,50814,57519",https://static.inaturalist.org/photos/56669280/medium.jpg
47158,Insecta,Insects,class,Insecta,"48460,1,47120,372739",https://inaturalist-open-data.s3.amazonaws.com/photos/18333696/medium.jpeg
53386,Chrysolepis sempervirens,bush chinquapin,species,Plantae,"48460,47126,211194,47125,47124,47853,47852,53364",https://inaturalist-open-data.s3.amazonaws.com/photos/487873/medium.jpg
555996,Erythranthe tilingii,Tiling's Monkeyflower,species,Plantae,"48460,47126,211194,47125,47124,48151,64552,319976,982854",https://inaturalist-open-data.s3.amazonaws.com/photos/14867702/medium.jpg
78944,Salix lemmonii,Lemmon's willow,species,Plantae,"48460,47126,211194,47125,47124,51820,47567,53453,1237140,1237184",https://inaturalist-open-data.s3.amazonaws.com/photos/142652/medium.jpg
77005,Eriogonum lobbii,granite buckwheat,species,Plantae,"48460,47126,211194,47125,47124,47366,48382,922207,922210,48939,1112646",https://inaturalist-open-data.s3.amazonaws.com/photos/8523930/medium.jpeg
1456635,Argynnis mormonia,Mormon Fritillary,species,Insecta,"48460,1,47120,372739,47158,184884,47157,47224,47922,60854,134168,1117856,1456549",https://inaturalist-open-data.s3.amazonaws.com/photos/23772178/medium.jpg
63496,Suillus brevipes,Short-stalked Suillus,species,Fungi,"48460,47170,47169,492000,50814,1094814,48427,1432580,53489,53490,1634721,1634723",https://inaturalist-open-data.s3.amazonaws.com/photos/28232574/medium.jpg
55960,Sceloporus graciosus,Common Sagebrush Lizard,species,Reptilia,"48460,1,2,355675,26036,26172,85552,1563907,1567779,36074,797562,36141",https://inaturalist-open-data.s3.amazonaws.com/photos/205531817/medium.jpg
47130,Ribes,currants and gooseberries,genus,Plantae,"48460,47126,211194,47125,47124,71289,47131",https://inaturalist-open-data.s3.amazonaws.com/photos/117502191/medium.jpeg
47380,Polyporales,shelf fungi,order,Fungi,"48460,47170,47169,492000,50814",https://inaturalist-open-data.s3.amazonaws.com/photos/20896227/medium.jpg
10094,Junco hyemalis,Dark-eyed Junco,species,Aves,"48460,1,2,355675,3,7251,559248,10093",https://inaturalist-open-data.s3.amazonaws.com/photos/111714701/medium.jpeg
